row_id	llm_score	llm_verdict	llm_reason
0	3	match	Claim on monetary expansion to asset price inflation with lag across developed economies matches hypothesis precisely.
1	3	match	Claim on hyperinflation requiring fiscal dominance maps exactly onto hypothesis testing this across canonical episodes 1900-2025.
2	3	match	Claim on fiat currency purchasing power loss against hard assets matches hypothesis on post-1971 fiat erosion exactly.
3	3	match	Claim on post-Soviet fast vs slow reformer life expectancy gap matches hypothesis period, geography, and outcome precisely.
4	2	partial	Claim specifies nationalisation/price/FX controls producing collapse vs peers; hypothesis tests GDP divergence with institutional channel — related but narrower outcome framing.
5	3	match	Hypothesis claim text is verbatim identical to claim text — tautological match on Menem convertibility collapse.
6	3	match	Claim on post-2008 QE asset-price vs CPI divergence matches hypothesis on same divergence across Fed/ECB/BoE/BoJ 2008-2023 precisely.
7	3	match	Claim on central bank independence and hyperinflation-avoidance maps onto hypothesis testing CBI-inflation relationship across countries 1990-2023.
8	3	match	Claim names Blair-Brown UK and Kirchner Argentina procyclical fiscal expansion; hypothesis lists exactly these canonical cases with matching mechanism.
9	3	match	Claim on Zimbabwe land-reform monetisation hyperinflation as fiscal-dominance instance maps onto hypothesis listing Zimbabwe 2000s exactly.
10	3	match	Claim on Menem currency board success and fiscal-collapse is verbatim echoed by hypothesis — tautological match.
11	1	tangential	Claim names Milei 2023-2024 disinflation vs prior programmes; hypothesis tests Menem 1991-2001 convertibility collapse — named-entity and era mismatch.
12	3	match	Claim on Soviet and Chavismo price controls producing shortage pattern matches hypothesis canonical cases (Venezuela, USSR) and outcome signature exactly.
13	1	tangential	Pre-1914 classical gold standard vs fiat inflation claim falls outside hypothesis's post-1971 period — era mismatch.
14	3	match	Claim on Milei fiscal-first producing sub-5% m/m within 12 months and sub-3% within 18 months matches hypothesis thresholds precisely.
15	3	match	Claim on Maduro-era collapse decomposition (domestic monetary-fiscal vs oil/sanctions) matches hypothesis four-channel decomposition exactly.
16	3	match	Claim on Milei output recovery faster than LatAm peer average matches hypothesis trajectory and peer donor pool exactly.
17	3	match	Claim that hyperinflations always involve fiscal dominance maps exactly onto hypothesis testing this across canonical cases 1900-2025.
18	3	match	Claim on M2 growth correlating with asset price inflation with lag matches hypothesis exactly.
19	3	match	Hypothesis text is verbatim identical to the Volcker 1979-1982 disinflation recovery claim — tautological match.
