row_id	llm_score	llm_verdict	llm_reason
200	1	tangential	Entity/generality gap: claim is France Macron 2017-19 specific episode; hypothesis is generic cross-country EPL-vs-duration panel.
201	0	unrelated	Era and entity mismatch: claim tests Trump TCJA 2017; hypothesis tests Reagan 1981-86 tax cuts.
202	3	match	Identical Abenomics ZLB/NK proposition tested.
203	1	tangential	Entity/generality gap: claim is Germany Schroder Agenda 2010 specific episode; hypothesis is generic cross-country EPL-duration panel.
204	3	match	Identical Truss 2022 mini-budget proposition tested.
205	3	match	Identical forward-guidance term-structure proposition tested.
206	3	match	Identical Eurozone Southern-periphery post-2010 contraction proposition tested.
207	1	tangential	Outcome/entity gap: claim is about Bismarck/SWF/CPF market-respecting mechanisms; hypothesis decomposes Nordic-vs-Southern-Europe gap.
208	3	match	Identical Schuldenbremse 2009 debt-trajectory proposition tested.
209	2	partial	Era gap: claim is Bundesbank 1957-1998; hypothesis is CBI cross-country panel 1990-2023, same CBI-inflation mechanism but narrower era.
210	3	match	Identical EU/Bundeskartellamt vs US post-Bork competition-enforcement proposition tested.
211	3	match	Identical EU single market 1993 proposition tested.
212	3	match	Identical Bismarckian contributory fiscal-sustainability proposition tested.
213	3	match	Identical Agenda 2010 institutional-complementarity proposition tested.
214	3	match	Identical Maastricht 1992 convergence-discipline proposition tested.
215	3	match	Identical Greece/Southern-Europe fiscal-rule departure credibility-loss proposition tested.
216	2	partial	Outcome gap: claim is Venezuela competition-institution collapse; hypothesis tests Venezuela GDP divergence, same country/era but different outcome variable.
217	3	match	Identical Erhard 1948 liberalisation-recovery proposition tested.
218	3	match	Identical Mittelstand institutional-productivity proposition tested.
219	2	partial	Entity flip: claim is Reagan/Trump US antitrust retreat causing concentration; hypothesis tests EU-strict-vs-US-lax consumer-welfare, same topic different angle.
220	3	match	Same M2/asset-price-inflation proposition tested.
221	0	unrelated	Outcome mismatch: claim is fiscal expansion output/inflation tradeoff; hypothesis is architecture-vs-transfer redistribution growth/inequality.
222	3	match	Identical Great Depression 1929-1933 fiscal counterfactual proposition tested.
223	3	match	Identical Bretton Woods 1945-1973 growth/fiscal-space proposition tested.
224	2	partial	Mechanism gap: claim is 2007-09 endogenous Minsky leverage; hypothesis tests deregulation-crisis vulnerability, adjacent causal chain.
225	3	match	Same post-2010 Eurozone periphery austerity multiplier proposition tested.
226	3	match	Identical UK Cameron-Osborne 2010-2016 austerity proposition tested.
227	3	match	Same post-2008 QE asset-vs-CPI divergence proposition tested.
228	3	match	Identical Abenomics 2012-2020 inflation-response proposition tested.
229	3	match	Identical Volcker 1979-1982 disinflation output-cost proposition tested.
230	3	match	Identical pre-2008 US household-debt demand proposition tested.
231	3	match	Same OECD financial-deregulation 1980-2008 crisis-frequency proposition tested; Gramm-Leach/Big Bang both covered.
232	3	match	Identical Phillips-curve flattening post-1990 OECD proposition tested.
233	3	match	Identical Trump tariff 2018-2019 reshoring/incidence proposition tested.
234	3	match	Same Brazil Lula Novo Arcabouço Fiscal primary-balance commitment proposition tested.
235	3	match	Identical Petro Colombia 2022-2026 trajectory-vs-peers proposition tested.
236	3	match	Same Nordic-outcome decomposition welfare-vs-institutions proposition tested.
237	2	partial	Mechanism gap: claim is transfer-expansion growth neutrality; hypothesis tests architecture-based redistribution vs transfers, adjacent question.
238	3	match	Identical US 1945-1973 labour-compact productivity-wage proposition tested.
239	3	match	Identical post-1980 OECD union-density inequality-growth proposition tested.
240	3	match	Identical Schroder Agenda 2010 inequality/median-wage proposition tested.
241	3	match	Same post-2010 Eurozone periphery austerity output-contraction proposition tested.
242	3	match	Identical Nordic 1990s reform welfare-preservation proposition tested.
243	2	partial	Mechanism gap: claim attributes US-EU gap to hours-worked/welfare preference; hypothesis attributes to policy channels (PMR/EPL/capital/energy/tax).
244	3	match	Identical US-1945-1980/Nordic top-marginal-rate growth-compatibility proposition tested.
245	3	match	Identical OECD universal-healthcare cost/outcome proposition tested.
246	3	match	Identical Australian superannuation 1992 saving proposition tested.
247	3	match	Identical Macron 2017-2019 labour-tax employment/distribution proposition tested.
248	3	match	Identical Piketty r>g post-1980 wealth-income-ratio proposition tested.
249	3	match	Identical post-2008 automatic-stabiliser contraction-severity proposition tested.
250	3	match	Identical EU universal-vs-means-tested child-poverty proposition tested.
