row_id	llm_score	llm_verdict	llm_reason
50	3	match	Claim and hypothesis text are identical on GDP-energy coupling 1945-1973.
51	3	match	Claim and hypothesis text are identical on reduced-working-time experiments.
52	3	match	Claim and hypothesis text are identical on wellbeing-GDP divergence threshold.
53	3	match	Claim and hypothesis text are identical on Cuba Special Period degrowth.
54	3	match	Claim and hypothesis text are identical on post-2008 OECD growth-emissions path.
55	3	match	Claim and hypothesis text are identical on universal basic services throughput.
56	3	match	Claim and hypothesis text are identical on Japanese stagnation wellbeing outcomes.
57	3	match	Claim and hypothesis text are identical on EU Green Deal decoupling pace.
58	3	match	Claim and hypothesis text are identical on Costa Rica wellbeing-throughput efficiency.
59	3	match	Claim and hypothesis text are identical on US post-2008 GDP vs GPI divergence.
60	3	match	Claim and hypothesis text are identical on material-footprint cap feasibility.
61	3	match	Claim and hypothesis text are identical on Keynes 1930 growth-targets assessment.
62	1	tangential	Outcome/entity mismatch: claim is generic on transfer redistribution growth-neutrality while hypothesis tests architecture-based vs transfer redistribution comparative.
63	3	match	Both test whether binding rent control reduces housing supply; same proposition ignoring polarity.
64	3	match	Claim and hypothesis text are identical on New Deal output-employment counterfactual.
65	3	match	Claim and hypothesis text are identical on UK Attlee reforms outcomes.
66	3	match	Same USA state-level minimum-wage employment elasticity proposition over overlapping period.
67	3	match	Claim and hypothesis text are identical on Clinton welfare reform deep-poverty effect.
68	3	match	Claim and hypothesis text are identical on single-payer cost-outcome comparison.
69	3	match	Claim and hypothesis text are identical on US free community college experiments.
70	3	match	Claim and hypothesis text are identical on Vienna social housing rent burden.
71	3	match	Claim and hypothesis text are identical on German codetermination competitiveness.
72	3	match	Claim and hypothesis text are identical on Corbyn manifesto capital-flight prediction.
73	3	match	Claim and hypothesis text are identical on eurozone austerity distributional incidence.
74	3	match	Claim and hypothesis text are identical on Sanders $15 federal minimum wage.
75	3	match	Claim and hypothesis text are identical on child benefit expansion poverty effect.
76	0	unrelated	Geography/entity mismatch: claim names Singapore CPF and Chile AFP while hypothesis samples Nordic vs Southern European institutional decomposition.
77	3	match	Generic claim matches hypothesis proposition on nationalisation-with-autonomy-loss output decline.
78	2	partial	Generality gap: claim is Park-era Korea HCI capability episode 1961-1979 while hypothesis tests aggregate long-run growth across developmentalist states.
79	3	match	Claim and hypothesis text are identical on export-discipline conditionality.
80	2	partial	Outcome/generality gap: claim is Taiwan semiconductor sector capability while hypothesis tests aggregate East Asian per-capita GDP growth.
81	3	match	Claim and hypothesis text are identical on Singapore CPF national-savings effect.
82	3	match	Claim and hypothesis text are identical on Deng gradualist reform vs shock therapy.
83	3	match	Claim and hypothesis text are identical on China WTO accession productivity spillovers.
84	2	partial	Outcome mismatch: claim predicts capacity and productivity gains while hypothesis tests capacity plus job creation metrics.
85	0	unrelated	Entity/geography mismatch: claim is Pinochet-era Chile while hypothesis is Menem-era Argentina.
86	3	match	Claim and hypothesis text are identical on Menem-era Argentina vs Korean developmental-state.
87	3	match	Claim and hypothesis text are identical on India post-1991 services-led growth.
88	3	match	Claim and hypothesis text are identical on Ethiopia developmental-state growth.
89	3	match	Claim and hypothesis text are identical on Vietnam Doi Moi developmental pattern.
90	3	match	Claim and hypothesis text are identical on infant-industry protection capability effect.
91	0	unrelated	Entity/geography mismatch: claim is Lula Brazil 2024 industrial policy while hypothesis tests Biden IRA/CHIPS.
92	2	partial	Outcome-adjacent: same Marco Fiscal policy but claim tests monetary-fiscal compatibility while hypothesis tests binding spending-band adherence.
93	2	partial	Outcome-adjacent: claim conditions nationalisation success on ecological mandate while hypothesis tests autonomy-loss channel on output only.
94	1	tangential	Outcome mismatch: claim asserts Energiewende feasibility while hypothesis tests US-EU GDP divergence attribution.
95	3	match	Claim and hypothesis text are identical on EU ETS emissions vs 1.5C pathway.
96	3	match	Claim and hypothesis text are identical on OECD fossil-fuel subsidy persistence.
97	3	match	Claim and hypothesis text are identical on US consumption-based CO2 decoupling.
98	3	match	Claim and hypothesis text are identical on public electricity generator carbon intensity.
99	3	match	Claim and hypothesis text are identical on UK electricity privatisation price/decarbonisation.
