row_id	llm_score	llm_verdict	llm_reason
150	3	match	Hypothesis text is identical to the claim; same UK nationalised-industry investment-rate proposition through 1979.
151	2	partial	Generality gap: claim is the generic structural Marxian thesis; hypothesis tests a specific 1980-2020 OECD channel-decomposition of labour-share decline.
152	3	match	Hypothesis tests top-1% share drivers 1980-2020 OECD, directly engaging the capital-extraction-vs-skill-return proposition.
153	3	match	Both test M2 expansion correlating with asset-price inflation; hypothesis specifies 2008-2025 panel but proposition is aligned.
154	3	match	Same era 1973-2000, same USA, same outcome (median real wage vs productivity decoupling).
155	3	match	Hypothesis text identical to claim; same 1929-1933 US over-accumulation proposition.
156	2	partial	Entity partial: hypothesis covers GLB 1999 and UK Big Bang 1986 but omits the 1980 Depository Institutions Act named in the claim; GFC outcome aligned.
157	3	match	Hypothesis text is identical; same post-1980 capital mobility vs worker bargaining power proposition.
158	3	match	Hypothesis text identical to claim; same US 1945-1973 vs post-1973 decoupling thesis.
159	3	match	Hypothesis text identical; same US financial-sector profit-share rise 1970-2007 proposition.
160	2	partial	Outcome partial: claim tests wealth-to-income widening via wages; hypothesis tests asset-price vs CPI divergence 2008-2023; same QE episode, different numerator.
161	3	match	Hypothesis text identical to claim; same US industrial-concentration vs labour-share 1997-2020 proposition.
162	2	partial	Generality gap: hypothesis tests fiscal-dominance as universal hyperinflation precondition; claim isolates Zimbabwe's fiscal-military origin specifically.
163	1	tangential	Era mismatch and entity mismatch: claim is Thatcher 1979-1990 labour-share; hypothesis tests UK GDP divergence 1996-2023 centred on Brexit.
164	3	match	Hypothesis text identical; same 2007-2009 GFC household-debt-wage-stagnation Minsky-plus-Marx proposition.
165	3	match	Hypothesis decomposes Maduro 2013-2023 collapse into sanctions vs domestic channels, directly testing the claim's attribution.
166	2	partial	Outcome partial: claim tests tax/pension/labour reform feasibility via FDI; hypothesis tests Colombia GDP/FDI/peso divergence from LatAm pool under Petro.
167	3	match	Hypothesis tests resource-extractor nationalisation output effect with autonomy caveat, matching the claim exactly.
168	3	match	Hypothesis tests price ceilings producing shortages across documented episodes, matching the claim.
169	3	match	Hypothesis text identical; same Soviet 1928-1940 Five-Year-Plan industrial catch-up proposition.
170	3	match	Hypothesis text identical; same Cuban 1960-2000 life-expectancy/infant-mortality vs LatAm peers proposition.
171	3	match	Hypothesis text identical; same Maoist 1949-1976 precondition-for-Deng-reform-growth proposition.
172	3	match	Hypothesis tests fast-vs-slow post-Soviet reformers life-expectancy divergence, directly engaging the claim.
173	2	partial	Outcome partial: claim tests poverty/healthcare 1999-2013 and sanctions attribution; hypothesis tests Venezuela GDP-per-capita divergence from LatAm donor pool.
174	3	match	Hypothesis text identical; same Zimbabwean 2000-2008 land-reform and inflation-crisis-attribution proposition.
175	3	match	Hypothesis text identical; same China-SOE-vs-CEE-privatised post-1978 growth proposition.
176	1	tangential	Geography mismatch: claim compares US/UK to China/Vietnam contraction depth; hypothesis panel is OECD deregulators and tests banking-crisis hazard, not GFC contraction depth.
177	3	match	Hypothesis text identical; same Soviet 1930-1940 collectivisation grain-marketings Preobrazhensky proposition.
178	3	match	Hypothesis text identical; same Cuba Special Period post-1991 health/education resilience proposition.
179	1	tangential	Outcome mismatch: claim tests Milei-era poverty and real-wage decline; hypothesis tests Argentine GDP recovery trajectory vs LatAm peers.
180	2	partial	Generality gap: claim adds real-supply-collapse and FX-obligation conjuncts; hypothesis tests only fiscal-dominance as hyperinflation precondition.
181	3	match	Hypothesis tests Zimbabwe 2000-2009 FTLRP and RBZ monetisation producing collapse metrics, aligning with the claim's causal ordering.
182	3	match	Hypothesis text identical; same US WWII 1941-1945 fiscal-expansion inflation-aftermath proposition.
183	3	match	Hypothesis text identical; same post-Bretton-Woods US dollar-issuer solvency proposition.
184	3	match	Hypothesis text identical; same Japan 1990-2020 public-debt solvency and inflation-independence proposition.
185	3	match	Hypothesis text identical; same Greek 2010-2015 currency-user crisis proposition.
186	3	match	Hypothesis text identical; same UK Truss 2022 gilt-crisis institutional-rupture proposition.
187	3	match	Hypothesis text identical; same Australia 2008-2009 GFC fiscal-expansion anti-recession proposition.
188	3	match	Hypothesis text identical; same US Biden 2022 IRA-plus-CHIPS investment vs wage-price-spiral proposition.
189	3	match	Hypothesis text identical; same Argentina FX-obligation and non-sovereign-currency inflation-mechanism proposition.
190	3	match	Hypothesis text identical; same US post-2008 base-money-vs-CPI decoupling-through-2021 proposition.
191	3	match	Hypothesis text identical; same US 2020-2021 CARES-plus-ARP transient-inflation proposition.
192	3	match	Hypothesis text identical; same US-and-Japan high-slack monetisation-vs-CPI decoupling proposition.
193	1	tangential	Entity and outcome mismatch: claim centres on Volcker disinflation and CB independence restoring price stability; hypothesis tests post-1971 fiat purchasing-power erosion vs hard assets.
194	3	match	Hypothesis tests Nordic-vs-Southern-Europe outcome decomposition 1996-2023, aligned with the claim's welfare-architecture proposition.
195	3	match	Hypothesis text identical; same Fed 2008-2014 QE long-end-yields and portfolio-rebalancing proposition.
196	3	match	Hypothesis text identical; same fiscal-multipliers-larger-at-ZLB proposition.
197	3	match	Hypothesis text identical; same 2008-2020 inflation-expectations-anchoring and flatter-Phillips-curve proposition.
198	2	partial	Generality gap: claim is specifically UK Cameron-Osborne 2010-2016 counterfactual; hypothesis tests Eurozone-periphery austerity panel 2010-2019, UK is in sample but not focal.
199	3	match	Hypothesis text identical; same Blanchard-Summers hysteresis NAIRU-rise proposition.
